,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
205,2015-11-05 21:36:00,2015-11-06 05:29:00,0.77,451.2,0,0,1,1,0,1
206,2015-11-07 00:19:00,2015-11-07 08:13:00,0.93,452.4,0,0,1,1,0,1
207,2015-11-08 23:28:00,2015-11-09 06:20:00,0.69,391.2,0,0,1,1,0,0
208,2015-11-09 21:59:00,2015-11-10 05:41:00,0.88,444.6,0,0,1,1,0,1
209,2015-11-10 22:56:00,2015-11-11 06:28:00,0.83,439.20000000000005,0,0,1,1,0,1
210,2015-11-11 22:57:00,2015-11-12 06:20:00,0.72,433.8,0,0,1,1,0,0
211,2015-11-13 22:59:00,2015-11-14 07:46:00,0.96,507.6,0,0,1,1,0,0
212,2015-11-15 22:17:00,2015-11-16 06:30:00,0.72,487.80000000000007,0,0,1,1,0,0
213,2015-11-18 22:07:00,2015-11-19 05:30:00,0.8,433.8,0,0,1,1,1,1
214,2015-11-19 23:10:00,2015-11-20 06:00:00,0.73,390.0,0,0,1,1,0,1
215,2015-11-22 21:57:00,2015-11-23 05:30:00,0.83,439.8,0,0,0,1,0,0
216,2015-11-23 22:15:00,2015-11-24 05:00:00,0.74,386.40000000000003,0,0,1,1,0,1
217,2015-11-24 22:33:00,2015-11-25 06:30:00,0.87,454.20000000000005,0,0,1,1,0,1
218,2015-11-25 23:26:00,2015-11-26 06:20:00,0.69,392.4,0,0,1,1,0,1
219,2015-11-26 22:25:00,2015-11-27 06:20:00,0.81,453.0,0,0,1,1,0,1
220,2015-11-28 01:20:00,2015-11-28 07:46:00,0.58,375.0,0,0,1,1,0,1
221,2015-11-29 22:20:00,2015-11-30 06:20:00,0.68,455.4,0,0,0,1,0,0
222,2015-11-30 21:23:00,2015-12-01 06:19:00,0.64,513.0,0,0,1,1,0,1
223,2015-12-01 23:03:00,2015-12-02 06:20:00,0.84,430.2,0,0,1,1,0,1
224,2015-12-02 22:19:00,2015-12-03 05:11:00,0.75,390.59999999999997,0,0,1,1,0,0
