Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
73,452,5954,0,1,1,0,1,2237
66,463,8598,0,1,1,0,1,2228
82,452,2854,0,1,1,0,0,2243
70,452,14276,0,1,0,0,1,14
81,463,3770,0,1,0,0,1,18
72,556,8205,0,1,0,0,1,2156
93,512,10373,0,0,0,0,0,2144
68,458,5027,0,0,0,0,0,2234
10,47,0,0,0,0,0,0,616
80,438,3584,0,0,0,0,0,2314
81,451,7187,0,0,0,0,0,2234
58,424,6246,0,0,0,0,0,2246
94,524,13476,0,0,0,0,0,2215
74,528,2257,0,0,0,0,0,2124
65,482,4443,0,0,0,0,0,2204
80,493,5142,0,0,0,0,0,2144
76,425,5551,0,0,0,0,0,2255
55,527,4507,0,0,0,0,0,2256
82,490,5210,0,0,0,0,0,2150
65,462,6636,0,0,0,0,0,2218
83,471,5355,0,0,0,0,0,2215
70,455,5504,0,0,0,0,0,2230
90,523,144,0,0,0,0,0,2101
84,491,1751,0,0,0,0,0,2306
63,473,6346,0,0,0,0,0,2156
0,0,47,0,0,0,0,0,2028
83,481,1334,0,0,0,0,0,2209
77,411,2262,0,0,0,0,0,2253
79,435,2818,0,0,0,0,0,2245
84,447,6631,0,0,0,0,0,2245
84,476,22,0,0,0,0,0,2204
84,543,4881,0,0,0,0,0,2058
69,449,29,0,0,0,0,0,2130
73,449,2435,0,0,0,0,0,2318
76,498,5598,0,0,0,0,0,2307
79,475,7137,0,0,1,0,1,2144
82,439,5776,0,1,0,0,1,107
69,485,4509,0,1,1,0,0,2317
92,540,3868,0,1,1,0,0,2325
73,394,5216,0,1,1,0,0,2235
17,79,5216,0,0,0,0,0,511
87,449,10856,0,1,1,0,1,2240
24,128,4540,0,0,0,0,0,512
96,509,4223,0,0,1,0,0,2312
62,388,12892,1,1,1,0,1,2231
100,510,3417,0,0,1,0,0,2237
87,481,7351,0,1,1,0,1,2139
85,487,6109,0,1,1,0,0,2223
93,487,171,0,1,1,0,0,2201
71,433,7028,0,1,1,0,1,2148
99,547,10528,0,1,1,0,0,2255
79,454,7708,0,1,1,0,1,2229
90,499,2835,0,1,1,0,1,2201
88,607,4787,0,0,1,0,0,2145
85,480,8358,0,1,1,0,1,2220
59,441,6932,0,1,1,0,1,2259
75,454,7661,0,1,1,0,1,2255
88,430,82,1,1,1,0,1,2317
74,467,7820,0,1,0,0,1,2230
78,472,6507,0,0,0,0,0,2218
70,442,12647,0,0,0,0,0,2236
70,497,5925,0,0,0,0,0,2208
71,446,4840,0,0,0,0,0,2251
87,489,4336,0,0,0,0,0,2145
76,511,1114,0,0,0,0,0,2259
99,548,3045,0,0,0,0,0,2303
79,462,5541,0,0,0,0,0,2258
30,420,10605,0,0,0,0,0,2337
81,495,3001,0,0,0,0,0,2301
77,459,5470,0,0,0,0,0,2226
79,453,6235,0,0,0,0,0,3
69,501,2757,0,0,0,0,0,2144
100,540,907,0,0,0,0,0,2113
62,411,7603,0,0,0,0,0,2252
96,551,847,0,0,0,0,0,2204
82,484,4153,0,0,0,0,0,2158
60,424,1566,0,0,0,0,0,2247
75,524,1306,0,0,0,0,0,2210
64,542,2405,0,0,0,0,0,2207
78,478,7982,0,0,0,0,0,2202
91,548,56,0,0,0,0,0,2154
